,POS Txn,Dept,ID,Sales U
3353,16120100160038001229,0982,176,1
3354,16120100160038001230,0530,70,1
3355,16120100160038001230,0532,72,1
3356,16120100160038001230,0644,292,5
3357,16120100160038001230,0826,138,1
3358,16120100160038001230,0961,169,2
3359,16120100160038001230,0973,175,4
3360,16120100160038001231,0941,167,1
3361,16120100160038001232,0597,93,2
3362,16120100160038001232,0603,99,2
3363,16120100160038001233,0861,156,1
3364,16120100160038001234,0340,32,1
3365,16120100160038001235,0380,46,1
3366,16120100160038001235,0962,170,1
3367,16120100160038001236,0961,169,2
3368,16120100160038001236,0962,170,1
3369,16120100160038001237,0973,175,8
3370,16120100160038001238,0531,71,5
3371,16120100160038001238,0646,110,8
3372,16120100160038001239,0638,106,1
3373,16120100160038001239,0962,170,1
3374,16120100160038001240,0380,46,3
3375,16120100160038001240,0416,52,1
3376,16120100160038001240,0597,93,1
3377,16120100160038001240,0604,100,2
3378,16120100160038001241,0638,106,6
3379,16120100160038001241,0836,143,1
3380,16120100160038001242,0640,108,2
3381,16120100160038001242,0646,110,5
3382,16120100160038001243,0962,170,1
3383,16120100160038001243,0973,175,1
3384,16120100160038001244,0597,93,2
3385,16120100160038001244,0836,143,1
3386,16120100160038001245,0603,99,1
3387,16120100160038001245,0973,175,4
3388,16120100160038001246,0598,94,1
3389,16120100160038001247,0110,1,1
3390,16120100160038001248,0962,170,2
3391,16120100160038001249,0590,86,1
3392,16120100160038001249,0592,269,1
3393,16120100160038001249,0593,270,2
3394,16120100160038001249,0595,272,3
3395,16120100160038001250,0837,296,4
3396,16120100160038001250,0930,164,3
3397,16120100160038001250,0941,167,1
3398,16120100160038001250,0973,175,5
3399,16120100160038001251,0110,1,3
3400,16120100160038001251,0167,8,2
3401,16120100160038001251,0240,24,3
3402,16120100160038001251,0391,48,1
3403,16120100160038001252,0240,24,2
3404,16120100160038001252,0826,138,1
3405,16120100160038001252,0973,175,1
3406,16120100160038001253,0961,169,1
3407,16120100160038001253,0962,170,1
3408,16120100160038001254,0532,72,1
3409,16120100160038001255,0795,128,1
3410,16120100160038001255,0797,294,2
3411,16120100160038001255,0822,278,1
3412,16120100160038001255,0984,178,3
3413,16120100160038001256,0551,75,1
3414,16120100160038001257,0411,50,2
3415,16120100160038001257,0415,51,5
3416,16120100160038001257,0416,52,1
3417,16120100160038001257,0598,94,1
3418,16120100160038001257,0603,99,4
3419,16120100160038001257,0604,100,2
3420,16120100160038001257,0962,170,1
3421,16120100160038001258,0343,34,1
3422,16120100160038001259,0167,8,1
